episode,protein_idx,regime,ci,ef10,ci_roll100,ef10_roll100,mean_sigma,total_loss,nll,replay_loss,n_ctx,n_preds,w_nll,w_listnet,w_lambda
10,5337,warm,0.4970513760245219,0.37846153846153846,0.46382366635436445,1.0534971124907602,1.6767404079437256,9.139509201049805,2.9472157955169678,5.948883533477783,3083,246,0.9991375207901001,0.9990207552909851,0.9990026950836182
11,2928,warm,0.46901280849734456,0.1748230224684518,0.4642560948662795,0.9802742716555678,1.68863844871521,8.943325996398926,1.914637565612793,5.679328441619873,2411,568,0.9990501403808594,0.9989211559295654,0.998903751373291
12,4860,warm,0.45547101042608595,0.35380945319836943,0.4635803191401108,0.9320846702357832,1.6662298440933228,11.389175415039062,1.9777417182922363,5.8739213943481445,1516,6182,0.9989627003669739,0.9988210201263428,0.99880450963974
13,4979,warm,0.4434920106524634,1.1141868512110726,0.4621454399624217,0.9450919688768754,1.6457966566085815,7.505473613739014,1.7361899614334106,5.847889423370361,1082,161,0.9988749027252197,0.9987191557884216,0.9987050294876099
14,2083,warm,0.3258426966292135,1.25,0.4530585904068745,0.9654191709517504,1.6281274557113647,5.654105186462402,2.268470287322998,5.250638008117676,11045,15,0.998787522315979,0.9986183047294617,0.9986052513122559
15,5211,warm,0.2526595744680851,0.49507389162561577,0.44053365191070015,0.936022590993867,1.6235549449920654,7.183007717132568,2.2972474098205566,6.029628276824951,1309,67,0.998698890209198,0.9985215067863464,0.9985066652297974
16,5425,warm,0.8636363636363636,1.0,0.4654220467180921,0.9397859679942278,1.6332539319992065,5.635897636413574,1.8354648351669312,6.086680889129639,8739,45,0.9986091256141663,0.9984257817268372,0.9984081387519836
17,1651,warm,0.5004715868898845,0.0,0.46736924339430286,0.8875756364389928,1.644214391708374,7.0785417556762695,1.8636963367462158,5.9647626876831055,1479,93,0.9985190033912659,0.9983317852020264,0.9983482956886292
18,3442,warm,0.4262295081967213,1.21875,0.4652039941733775,0.9050058661000986,1.6829559803009033,7.27023458480835,2.225623607635498,5.833103179931641,5972,78,0.9984289407730103,0.9982381463050842,0.9982849359512329
19,814,warm,0.45773153333726346,0.0,0.4648303711315718,0.8597555727950936,1.70988130569458,8.914299011230469,1.731300950050354,5.69166374206543,764,668,0.9983380436897278,0.9981451034545898,0.998216986656189
20,3644,warm,0.5232028412937774,1.2064100808108478,0.4676100125678673,0.8762629303196534,1.7075766324996948,9.77370834350586,1.8053284883499146,5.358431339263916,1043,1468,0.9982478618621826,0.9980503916740417,0.9981448650360107
21,876,warm,0.34911242603550297,0.0,0.46222375863457804,0.8364327971233055,1.70167076587677,5.2404937744140625,1.6063623428344727,5.664485454559326,1330,19,0.9981580972671509,0.9979535937309265,0.9980716109275818
22,5412,warm,0.5201601657590452,1.3243370016236695,0.4647427328573809,0.85764602340593,1.663099765777588,10.57303524017334,2.16120982170105,5.641525745391846,325,2294,0.9980692863464355,0.9978596568107605,0.9979954361915588
23,3067,warm,0.6418927444794953,0.7514792899408285,0.4721239833416357,0.8532224095115507,1.6151708364486694,7.738792419433594,2.216548204421997,5.302481174468994,808,127,0.997979462146759,0.9977631568908691,0.9979177713394165
24,1216,warm,0.3146853146853147,0.0,0.46582643659538286,0.8190935131310887,1.5873874425888062,5.952747821807861,2.3229122161865234,5.724414825439453,1100,19,0.9978882074356079,0.9976675510406494,0.9978386759757996
25,3848,warm,0.43489923612013215,0.16759776536312848,0.4646369288847963,0.7940359843707826,1.6267955303192139,10.953524589538574,2.7990028858184814,5.068844318389893,319,1780,0.9977956414222717,0.9975747466087341,0.9977583289146423
26,6601,warm,0.42954678165566185,0.0,0.46333729380223576,0.7646272442089018,1.6442447900772095,8.414715766906738,1.8273406028747559,5.288629055023193,675,369,0.9977009296417236,0.9974795579910278,0.9976782202720642
27,280,warm,0.6674606082814217,3.5041322314049586,0.4706274121764924,0.8624667080373324,1.6499509811401367,7.211210250854492,1.8721635341644287,5.24118709564209,23138,106,0.9976068139076233,0.9973837733268738,0.997596800327301
28,6317,warm,0.3519892110586649,0.0,0.46653643972415354,0.8327264767257002,1.6598358154296875,6.504787445068359,1.8149319887161255,5.991861343383789,183,55,0.9975134134292603,0.9972888827323914,0.9975144267082214
29,5279,warm,0.6372549019607843,2.3333333333333335,0.4722270551320412,0.882746705279288,1.6851078271865845,6.124688148498535,2.4014828205108643,6.544053554534912,1071,21,0.9974204897880554,0.997195303440094,0.9974300861358643
30,3503,warm,0.30973451327433627,0.0,0.46698536023340553,0.8542710051089883,1.712350845336914,7.305958271026611,3.535261392593384,5.8428754806518555,913,22,0.9973263144493103,0.9971036911010742,0.9973428845405579
31,1876,warm,0.514265335235378,0.0,0.46846285945221716,0.8275750361993325,1.7482576370239258,6.445286750793457,1.780432939529419,5.693747043609619,19237,54,0.9972280859947205,0.9970142841339111,0.9972551465034485
32,4246,warm,0.36806231742940604,0.8512396694214877,0.46542041878485924,0.8282921462969736,1.7709312438964844,7.081618309020996,1.770777702331543,6.089902400970459,3020,103,0.9971311688423157,0.9969255924224854,0.9971662163734436
33,5129,warm,0.5259606922851277,1.0,0.4672010150642789,0.833342377288239,1.773777961730957,7.923343181610107,1.725420594215393,5.3032050132751465,10217,251,0.9970355033874512,0.9968365430831909,0.9970762133598328
34,5506,warm,0.5804123711340207,4.0,0.47043562523770016,0.9238183093657178,1.761392593383789,6.617679119110107,2.46909761428833,5.065914630889893,2884,32,0.9969407916069031,0.9967465400695801,0.9969859719276428
35,3993,warm,0.49624709149590934,0.0,0.47115261041153933,0.8981566896611146,1.7618132829666138,7.373205184936523,1.6004191637039185,6.5146965980529785,2865,164,0.9968449473381042,0.996658444404602,0.9968954920768738
36,6367,warm,0.425,0.0,0.4699052425625788,0.8738821845351386,1.764327049255371,5.2657575607299805,1.8152518272399902,5.2196807861328125,293,16,0.9967504739761353,0.996569037437439,0.9968039989471436
37,2192,warm,0.49040570175438597,1.2448979591836733,0.47044472833078427,0.8836457575522052,1.7552258968353271,6.432919979095459,1.6466312408447266,5.754223823547363,1457,61,0.9966568350791931,0.9964823722839355,0.9967126250267029
38,5331,warm,0.5445532559313478,0.623046875,0.47234494698720897,0.8769637349226616,1.7179596424102783,8.181273460388184,1.7461133003234863,6.2403693199157715,1874,319,0.9965644478797913,0.9963958859443665,0.9966211915016174
39,346,warm,0.5205286009358007,0.3436385255648038,0.4735495383359238,0.8636306046887151,1.6809093952178955,8.127289772033691,1.7914897203445435,5.4029221534729,8269,289,0.9964725971221924,0.9963071346282959,0.9965288043022156
40,6338,warm,0.33182105929520994,0.0,0.47009274616419905,0.8425664435987464,1.6351065635681152,7.272037029266357,2.0134849548339844,5.787322998046875,255,98,0.9963815212249756,0.996216893196106,0.9964355826377869
41,4191,warm,0.5197368421052632,0.0,0.4712747484485101,0.8225053377987763,1.623741626739502,5.133037090301514,1.5566983222961426,6.256976127624512,14471,18,0.9962902665138245,0.9961265325546265,0.9963424801826477
42,2158,warm,0.4117647058823529,0.0,0.4698907939702273,0.8033773066871769,1.5828132629394531,4.919924259185791,1.4163217544555664,6.478481292724609,448,17,0.9962003231048584,0.9960380792617798,0.9962484240531921
43,3799,warm,0.5006361323155216,1.5833333333333333,0.4705895516598931,0.8211035800200441,1.529083490371704,8.16598892211914,3.4590706825256348,5.4369120597839355,2439,57,0.9961118102073669,0.9959513545036316,0.9961535334587097
44,3064,warm,0.5677731239967897,1.7499999999999998,0.472749186600713,0.8417457226862654,1.4891034364700317,8.176778793334961,1.518532156944275,6.182021617889404,10524,400,0.9960185885429382,0.9958648681640625,0.9960591197013855
45,5527,warm,0.497771965513901,0.11414982164090368,0.47329316005534755,0.825928420489627,1.453087329864502,9.772184371948242,2.351781129837036,5.692875385284424,10205,864,0.9959267377853394,0.9957758188247681,0.9959635734558105
46,2023,warm,0.5781726197732537,1.3305736250739206,0.47552463792168603,0.8366655525020587,1.408101201057434,8.058390617370605,1.4678987264633179,5.9811859130859375,117,375,0.9958337545394897,0.9956836104393005,0.9958675503730774
47,6865,warm,0.09467455621301775,1.0,0.4675902612194221,0.8400683534915991,1.3850339651107788,7.1275739669799805,1.3398298025131226,6.392868518829346,9435,170,0.9957422018051147,0.9955896735191345,0.9957711100578308
48,4348,warm,0.44308231173380036,0.0,0.4670900989850217,0.8229241013795257,1.3571661710739136,6.041209697723389,1.4722869396209717,5.955740451812744,170,49,0.99565190076828,0.9954952597618103,0.9956748485565186
49,3994,warm,0.6888297872340425,6.222222222222222,0.4715248927500021,0.9309100637963796,1.309838891029358,9.015752792358398,5.023870944976807,5.857231616973877,637,28,0.9955630898475647,0.9954019784927368,0.9955775141716003
